||
Electoral district name|Political affiliation|Votes obtained - Votes obtenus
Madawaska--Restigouche|Conservative|7857
Madawaska--Restigouche|Free Party Canada|1277
Madawaska--Restigouche|Green Party|786
Madawaska--Restigouche|NDP-New Democratic Party|1859
Madawaska--Restigouche|People's Party - PPC|1889
Madawaska--Restigouche|Liberal|16854
Madawaska--Restigouche|Conservative|7892
Madawaska--Restigouche|Free Party Canada|1277
Madawaska--Restigouche|Green Party|786
Madawaska--Restigouche|NDP-New Democratic Party|1848
Madawaska--Restigouche|People's Party - PPC|1889
Miramichi--Grand Lake|Green Party|1393
Miramichi--Grand Lake|Liberal|12762
Miramichi--Grand Lake|People's Party - PPC|1835
Miramichi--Grand Lake|NDP-New Democratic Party|2294
Miramichi--Grand Lake|Conservative|14221
Miramichi--Grand Lake|Green Party|1393
Miramichi--Grand Lake|Liberal|12762
Miramichi--Grand Lake|People's Party - PPC|1839
Miramichi--Grand Lake|NDP-New Democratic Party|2291
Miramichi--Grand Lake|Conservative|14218
Moncton--Riverview--Dieppe|People's Party - PPC|2899
Moncton--Riverview--Dieppe|Green Party|2231
Moncton--Riverview--Dieppe|NDP-New Democratic Party|7804
Moncton--Riverview--Dieppe|Liberal|22179
Moncton--Riverview--Dieppe|Conservative|10727
Moncton--Riverview--Dieppe|People's Party - PPC|2901
Moncton--Riverview--Dieppe|Green Party|1935
Moncton--Riverview--Dieppe|NDP-New Democratic Party|7774
Moncton--Riverview--Dieppe|Liberal|22460
Moncton--Riverview--Dieppe|Conservative|10692
New Brunswick Southwest|Liberal|8797
New Brunswick Southwest|Green Party|1588
New Brunswick Southwest|People's Party - PPC|3080
New Brunswick Southwest|NDP-New Democratic Party|4892
New Brunswick Southwest|Conservative|18311
New Brunswick Southwest|Liberal|8750
New Brunswick Southwest|Green Party|1587
New Brunswick Southwest|People's Party - PPC|3090
New Brunswick Southwest|NDP-New Democratic Party|4893
New Brunswick Southwest|Conservative|18309
Saint John--Rothesay|Liberal|17371
Saint John--Rothesay|Green Party|948
Saint John--Rothesay|Conservative|12315
Saint John--Rothesay|NDP-New Democratic Party|4821
Saint John--Rothesay|People's Party - PPC|2001
Saint John--Rothesay|Liberal|17375
Saint John--Rothesay|Green Party|948
Saint John--Rothesay|Conservative|12315
Saint John--Rothesay|NDP-New Democratic Party|4816
Saint John--Rothesay|People's Party - PPC|1996
Tobique--Mactaquac|Conservative|17537
Tobique--Mactaquac|Independent|398
Tobique--Mactaquac|Green Party|1657
Tobique--Mactaquac|NDP-New Democratic Party|3656
Tobique--Mactaquac|Liberal|8222
Tobique--Mactaquac|People's Party - PPC|2928
Tobique--Mactaquac|Conservative|17536
Tobique--Mactaquac|Independent|398
Tobique--Mactaquac|Green Party|1657
Tobique--Mactaquac|NDP-New Democratic Party|3656
Tobique--Mactaquac|Liberal|8223
Tobique--Mactaquac|People's Party - PPC|2930
Abitibi--Baie-James--Nunavik--Eeyou|Free Party Canada|589
Abitibi--Baie-James--Nunavik--Eeyou|Bloc Québécois|10768
Abitibi--Baie-James--Nunavik--Eeyou|People's Party - PPC|1077
Abitibi--Baie-James--Nunavik--Eeyou|Conservative|4500
Abitibi--Baie-James--Nunavik--Eeyou|Liberal|7324
Abitibi--Baie-James--Nunavik--Eeyou|NDP-New Democratic Party|3307
Abitibi--Baie-James--Nunavik--Eeyou|Marijuana Party|324
Abitibi--Baie-James--Nunavik--Eeyou|Green Party|438
Abitibi--Baie-James--Nunavik--Eeyou|Free Party Canada|594
