||
Electoral district name|Political affiliation|Votes obtained - Votes obtenus
Rosemont--La Petite-Patrie|Liberal|12738
Rosemont--La Petite-Patrie|Green Party|1308
Rosemont--La Petite-Patrie|Conservative|2199
Rosemont--La Petite-Patrie|Bloc Québécois|11751
Marc-Aurèle-Fortin|NDP-New Democratic Party|4451
Marc-Aurèle-Fortin|Free Party Canada|990
Marc-Aurèle-Fortin|Bloc Québécois|16055
Marc-Aurèle-Fortin|People's Party - PPC|1509
Marc-Aurèle-Fortin|Conservative|6120
Marc-Aurèle-Fortin|Liberal|22895
Marc-Aurèle-Fortin|NDP-New Democratic Party|4461
Marc-Aurèle-Fortin|Free Party Canada|990
Marc-Aurèle-Fortin|Bloc Québécois|16055
Marc-Aurèle-Fortin|People's Party - PPC|1509
Marc-Aurèle-Fortin|Conservative|6120
Marc-Aurèle-Fortin|Liberal|22992
Saint-Hyacinthe--Bagot|Liberal|12030
Saint-Hyacinthe--Bagot|Free Party Canada|1053
Saint-Hyacinthe--Bagot|Conservative|7156
Saint-Hyacinthe--Bagot|People's Party - PPC|1445
Saint-Hyacinthe--Bagot|NDP-New Democratic Party|6170
Saint-Hyacinthe--Bagot|Bloc Québécois|25191
Saint-Hyacinthe--Bagot|Liberal|12030
Saint-Hyacinthe--Bagot|Free Party Canada|1055
Saint-Hyacinthe--Bagot|Conservative|7166
Saint-Hyacinthe--Bagot|People's Party - PPC|1445
Saint-Hyacinthe--Bagot|NDP-New Democratic Party|6170
Saint-Hyacinthe--Bagot|Bloc Québécois|25165
Saint-Jean|Conservative|7544
Saint-Jean|Free Party Canada|1790
Saint-Jean|Pour l'Indépendance du Québec|413
Saint-Jean|NDP-New Democratic Party|4308
Saint-Jean|Bloc Québécois|27243
Saint-Jean|Liberal|16650
Saint-Jean|Green Party|1262
Saint-Jean|Conservative|7544
Saint-Jean|Free Party Canada|1790
Saint-Jean|Pour l'Indépendance du Québec|413
Saint-Jean|NDP-New Democratic Party|4308
Saint-Jean|Bloc Québécois|27243
Saint-Jean|Liberal|16650
Saint-Jean|Green Party|1262
Saint-Laurent|Marxist-Leninist|146
Saint-Laurent|NDP-New Democratic Party|4052
Saint-Laurent|Liberal|22056
Saint-Laurent|Bloc Québécois|2973
Saint-Laurent|Conservative|6902
Saint-Laurent|People's Party - PPC|1183
Saint-Laurent|Marxist-Leninist|146
Saint-Laurent|NDP-New Democratic Party|4059
Saint-Laurent|Liberal|22056
Saint-Laurent|Bloc Québécois|2972
Saint-Laurent|Conservative|6902
Saint-Laurent|People's Party - PPC|1182
Saint-Léonard--Saint-Michel|NDP-New Democratic Party|3460
Saint-Léonard--Saint-Michel|Conservative|4381
Saint-Léonard--Saint-Michel|Liberal|29024
Saint-Léonard--Saint-Michel|Bloc Québécois|3487
Saint-Léonard--Saint-Michel|People's Party - PPC|1579
Saint-Léonard--Saint-Michel|NDP-New Democratic Party|3460
Saint-Léonard--Saint-Michel|Conservative|4381
Saint-Léonard--Saint-Michel|Liberal|29010
Saint-Léonard--Saint-Michel|Bloc Québécois|3395
Saint-Léonard--Saint-Michel|People's Party - PPC|1568
Saint-Maurice--Champlain|Marijuana Party|307
Saint-Maurice--Champlain|NDP-New Democratic Party|2839
Saint-Maurice--Champlain|Conservative|10139
Saint-Maurice--Champlain|Bloc Québécois|16942
Saint-Maurice--Champlain|Liberal|23913
Saint-Maurice--Champlain|Parti Rhinocéros Party|290
Saint-Maurice--Champlain|Green Party|731
Saint-Maurice--Champlain|Independent|241
Saint-Maurice--Champlain|Free Party Canada|1059
Saint-Maurice--Champlain|Marijuana Party|307
Saint-Maurice--Champlain|NDP-New Democratic Party|2849
Saint-Maurice--Champlain|Conservative|10139
Saint-Maurice--Champlain|Bloc Québécois|16940
Saint-Maurice--Champlain|Liberal|23913
Saint-Maurice--Champlain|Parti Rhinocéros Party|285
Saint-Maurice--Champlain|Green Party|731
Saint-Maurice--Champlain|Independent|241
Saint-Maurice--Champlain|Free Party Canada|932
Salaberry--Suroît|Pour l'Indépendance du Québec|452
Salaberry--Suroît|Conservative|7475
Salaberry--Suroît|Bloc Québécois|29013
Salaberry--Suroît|Liberal|16545
Salaberry--Suroît|NDP-New Democratic Party|4529
Salaberry--Suroît|Free Party Canada|561
Salaberry--Suroît|People's Party - PPC|2207
Salaberry--Suroît|Pour l'Indépendance du Québec|449
Salaberry--Suroît|Conservative|7476
Salaberry--Suroît|Bloc Québécois|29093
Salaberry--Suroît|Liberal|16550
Salaberry--Suroît|NDP-New Democratic Party|4529
Salaberry--Suroît|Free Party Canada|561
Salaberry--Suroît|People's Party - PPC|2207
Shefford|Pour l'Indépendance du Québec|239
Shefford|Liberal|19902
Shefford|Marijuana Party|294
Shefford|NDP-New Democratic Party|3173
Shefford|Free Party Canada|599
Shefford|Conservative|7228
Shefford|Bloc Québécois|24996
Shefford|Green Party|1060
Shefford|People's Party - PPC|2073
Shefford|Pour l'Indépendance du Québec|239
Shefford|Liberal|19968
Shefford|Marijuana Party|284
Shefford|NDP-New Democratic Party|3173
Shefford|Free Party Canada|599
Shefford|Conservative|7234
Shefford|Bloc Québécois|24997
Shefford|Green Party|1059
Shefford|People's Party - PPC|2073
Sherbrooke|Green Party|1670
Sherbrooke|Free Party Canada|787
Sherbrooke|Liberal|21830
Sherbrooke|Bloc Québécois|16848
Sherbrooke|NDP-New Democratic Party|8097
Sherbrooke|People's Party - PPC|1453
Sherbrooke|Conservative|7490
Sherbrooke|Green Party|1670
Sherbrooke|Free Party Canada|787
Sherbrooke|Liberal|21830
Sherbrooke|Bloc Québécois|16848
Sherbrooke|NDP-New Democratic Party|8107
Sherbrooke|People's Party - PPC|1453
Sherbrooke|Conservative|7490
Vaudreuil--Soulanges|NDP-New Democratic Party|6795
Vaudreuil--Soulanges|Conservative|10566
Vaudreuil--Soulanges|Free Party Canada|1359
Vaudreuil--Soulanges|Liberal|29960
Vaudreuil--Soulanges|Green Party|1637
Vaudreuil--Soulanges|Bloc Québécois|14313
Vaudreuil--Soulanges|NDP-New Democratic Party|6780
Vaudreuil--Soulanges|Conservative|10556
Vaudreuil--Soulanges|Free Party Canada|1288
Vaudreuil--Soulanges|Liberal|30001
Vaudreuil--Soulanges|Green Party|1631
Vaudreuil--Soulanges|Bloc Québécois|14308
Terrebonne|No Affiliation|3874
Terrebonne|Conservative|6184
Terrebonne|Liberal|17474
Terrebonne|Free Party Canada|821
Terrebonne|Green Party|847
Terrebonne|NDP-New Democratic Party|3903
Terrebonne|Bloc Québécois|24248
Terrebonne|People's Party - PPC|1594
Terrebonne|No Affiliation|3864
Terrebonne|Conservative|6183
Terrebonne|Liberal|17475
Terrebonne|Free Party Canada|803
Terrebonne|Green Party|847
Terrebonne|NDP-New Democratic Party|3913
Terrebonne|Bloc Québécois|24270
Terrebonne|People's Party - PPC|1594
Trois-Rivières|Free Party Canada|735
Trois-Rivières|Liberal|16637
Trois-Rivières|Green Party|754
Trois-Rivières|People's Party - PPC|1115
Trois-Rivières|Conservative|17053
Trois-Rivières|NDP-New Democratic Party|4680
Trois-Rivières|Bloc Québécois|17136
Trois-Rivières|Free Party Canada|733
Trois-Rivières|Liberal|16560
Trois-Rivières|Green Party|780
Trois-Rivières|People's Party - PPC|1112
Trois-Rivières|Conservative|17027
Trois-Rivières|NDP-New Democratic Party|4658
Trois-Rivières|Bloc Québécois|17120
Trois-Rivières|Free Party Canada|733
Trois-Rivières|Liberal|16563
Trois-Rivières|Green Party|780
Trois-Rivières|People's Party - PPC|1112
Trois-Rivières|Conservative|17027
Trois-Rivières|NDP-New Democratic Party|4678
Trois-Rivières|Bloc Québécois|17119
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|Green Party|1353
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|People's Party - PPC|1324
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|Liberal|25519
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|Bloc Québécois|6276
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|Conservative|6320
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|Marxist-Leninist|125
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|NDP-New Democratic Party|9498
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|Marijuana Party|137
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|Green Party|1343
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|People's Party - PPC|1291
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|Liberal|24978
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|Bloc Québécois|6176
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|Conservative|6138
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|Marxist-Leninist|122
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|NDP-New Democratic Party|9241
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs|Marijuana Party|134
Vimy|NDP-New Democratic Party|4731
Vimy|Bloc Québécois|11810
Vimy|Conservative|6829
Vimy|Liberal|25322
Vimy|People's Party - PPC|2189
Vimy|NDP-New Democratic Party|4731
Vimy|Bloc Québécois|11811
Vimy|Conservative|6829
Vimy|Liberal|25316
Vimy|People's Party - PPC|2175
Ajax|Conservative|13206
Ajax|Liberal|28294
Ajax|NDP-New Democratic Party|6960
Ajax|Green Party|1254
Ajax|Conservative|13237
Ajax|Liberal|28279
Ajax|NDP-New Democratic Party|6988
Ajax|Green Party|1254
Algoma--Manitoulin--Kapuskasing|Christian Heritage Party|270
Algoma--Manitoulin--Kapuskasing|NDP-New Democratic Party|15306
Algoma--Manitoulin--Kapuskasing|People's Party - PPC|2857
Algoma--Manitoulin--Kapuskasing|Liberal|8501
Algoma--Manitoulin--Kapuskasing|Conservative|10902
Algoma--Manitoulin--Kapuskasing|Green Party|703
Algoma--Manitoulin--Kapuskasing|Christian Heritage Party|289
Algoma--Manitoulin--Kapuskasing|NDP-New Democratic Party|15895
Algoma--Manitoulin--Kapuskasing|People's Party - PPC|2840
Algoma--Manitoulin--Kapuskasing|Liberal|8888
Algoma--Manitoulin--Kapuskasing|Conservative|10885
Algoma--Manitoulin--Kapuskasing|Green Party|726
Aurora--Oak Ridges--Richmond Hill|Conservative|19314
Aurora--Oak Ridges--Richmond Hill|NDP-New Democratic Party|3594
Aurora--Oak Ridges--Richmond Hill|Libertarian|500
Aurora--Oak Ridges--Richmond Hill|People's Party - PPC|1734
Aurora--Oak Ridges--Richmond Hill|Liberal|20764
Aurora--Oak Ridges--Richmond Hill|Conservative|19304
Aurora--Oak Ridges--Richmond Hill|NDP-New Democratic Party|3594
Aurora--Oak Ridges--Richmond Hill|Libertarian|500
Aurora--Oak Ridges--Richmond Hill|People's Party - PPC|1734
Aurora--Oak Ridges--Richmond Hill|Liberal|20764
Barrie--Innisfil|People's Party - PPC|4060
Barrie--Innisfil|Conservative|25234
Barrie--Innisfil|NDP-New Democratic Party|8344
Barrie--Innisfil|Liberal|15279
Barrie--Innisfil|People's Party - PPC|4060
Barrie--Innisfil|Conservative|25234
Barrie--Innisfil|NDP-New Democratic Party|8349
Barrie--Innisfil|Liberal|15292
Barrie--Springwater--Oro-Medonte|NDP-New Democratic Party|8913
Barrie--Springwater--Oro-Medonte|Liberal|16145
Barrie--Springwater--Oro-Medonte|Conservative|23554
Barrie--Springwater--Oro-Medonte|People's Party - PPC|3629
Barrie--Springwater--Oro-Medonte|NDP-New Democratic Party|8910
Barrie--Springwater--Oro-Medonte|Liberal|16145
Barrie--Springwater--Oro-Medonte|Conservative|23555
Barrie--Springwater--Oro-Medonte|People's Party - PPC|3629
Bay of Quinte|NDP-New Democratic Party|9185
Bay of Quinte|Green Party|1386
Bay of Quinte|Liberal|22542
Bay of Quinte|People's Party - PPC|3045
Bay of Quinte|Conservative|25529
Bay of Quinte|NDP-New Democratic Party|9284
Bay of Quinte|Green Party|1350
Bay of Quinte|Liberal|22542
Bay of Quinte|People's Party - PPC|3045
Bay of Quinte|Conservative|25479
Beaches--East York|Green Party|1376
Beaches--East York|Liberal|28706
Beaches--East York|Marxist-Leninist|50
Beaches--East York|Communist|131
Beaches--East York|People's Party - PPC|1601
Beaches--East York|Conservative|7292
Beaches--East York|NDP-New Democratic Party|11420
Beaches--East York|Independent|166
Beaches--East York|Green Party|1388
Beaches--East York|Liberal|28919
Beaches--East York|Marxist-Leninist|50
Beaches--East York|Communist|131
Beaches--East York|People's Party - PPC|1613
Beaches--East York|Conservative|7336
Beaches--East York|NDP-New Democratic Party|11513
Beaches--East York|Independent|166
Brampton Centre|Liberal|16184
Brampton Centre|NDP-New Democratic Party|5900
Brampton Centre|Independent|812
Brampton Centre|Conservative|11038
Brampton Centre|Liberal|16189
Brampton Centre|NDP-New Democratic Party|5932
Brampton Centre|Independent|824
Brampton Centre|Conservative|11026
Brampton East|Conservative|11669
Brampton East|NDP-New Democratic Party|6576
Brampton East|Liberal|22187
Brampton East|People's Party - PPC|1088
Brampton East|Conservative|11647
Brampton East|NDP-New Democratic Party|6511
Brampton East|Liberal|22120
Brampton East|People's Party - PPC|1073
Brampton North|Conservative|13267
Brampton North|Liberal|23003
Brampton North|NDP-New Democratic Party|6386
Brampton North|Conservative|13289
Brampton North|Liberal|23412
Brampton North|NDP-New Democratic Party|6448
Brampton South|Conservative|12599
Brampton South|People's Party - PPC|1818
Brampton South|Liberal|21115
Brampton South|NDP-New Democratic Party|5894
Brampton South|Conservative|12596
Brampton South|People's Party - PPC|1820
Brampton South|Liberal|21120
Brampton South|NDP-New Democratic Party|5894
Brampton West|Conservative|13168
Brampton West|NDP-New Democratic Party|6105
Brampton West|Liberal|25732
Brampton West|Independent|329
Brampton West|People's Party - PPC|1213
Brampton West|Conservative|13186
Brampton West|NDP-New Democratic Party|6097
Brampton West|Liberal|25780
Brampton West|Independent|328
Brampton West|People's Party - PPC|1218
Brantford--Brant|Independent|162
Brantford--Brant|Conservative|26668
Brantford--Brant|Green Party|1760
Brantford--Brant|Liberal|18784
Brantford--Brant|NDP-New Democratic Party|12950
Brantford--Brant|People's Party - PPC|5634
Brantford--Brant|Independent|138
Brantford--Brant|Independent|160
Brantford--Brant|Conservative|26675
Brantford--Brant|Green Party|1759
Brantford--Brant|Liberal|18795
Brantford--Brant|NDP-New Democratic Party|12964
Brantford--Brant|People's Party - PPC|5633
Brantford--Brant|Independent|136
Bruce--Grey--Owen Sound|People's Party - PPC|4863
Bruce--Grey--Owen Sound|Independent|545
Bruce--Grey--Owen Sound|Green Party|1830
Bruce--Grey--Owen Sound|NDP-New Democratic Party|8107
Bruce--Grey--Owen Sound|Conservative|29559
Bruce--Grey--Owen Sound|Liberal|15050
Bruce--Grey--Owen Sound|People's Party - PPC|4697
Bruce--Grey--Owen Sound|Independent|524
Bruce--Grey--Owen Sound|Green Party|1789
Bruce--Grey--Owen Sound|NDP-New Democratic Party|7939
Bruce--Grey--Owen Sound|Conservative|28727
Bruce--Grey--Owen Sound|Liberal|14738
Burlington|People's Party - PPC|2764
Burlington|Conservative|25842
Burlington|Parti Rhinocéros Party|122
Burlington|Green Party|1368
Burlington|Liberal|31602
Burlington|NDP-New Democratic Party|7510
Burlington|People's Party - PPC|2764
Burlington|Conservative|25742
Burlington|Parti Rhinocéros Party|122
Burlington|Green Party|1368
Burlington|Liberal|31602
Burlington|NDP-New Democratic Party|7507
Cambridge|Green Party|1863
Cambridge|NDP-New Democratic Party|9316
Cambridge|Conservative|18851
Cambridge|Liberal|20796
Cambridge|People's Party - PPC|3931
Cambridge|Green Party|1860
Cambridge|NDP-New Democratic Party|9319
Cambridge|Conservative|18876
Cambridge|Liberal|20866
Cambridge|People's Party - PPC|3931
Chatham-Kent--Leamington|Conservative|22335
Chatham-Kent--Leamington|NDP-New Democratic Party|8007
Chatham-Kent--Leamington|Liberal|15681
Chatham-Kent--Leamington|People's Party - PPC|7891
Chatham-Kent--Leamington|Green Party|838
Chatham-Kent--Leamington|Conservative|22435
Chatham-Kent--Leamington|NDP-New Democratic Party|8007
Chatham-Kent--Leamington|Liberal|15683
Chatham-Kent--Leamington|People's Party - PPC|7892
Chatham-Kent--Leamington|Green Party|837
Davenport|NDP-New Democratic Party|19695
Davenport|Green Party|1078
Davenport|People's Party - PPC|1582
Davenport|Liberal|19860
Davenport|Independent|85
Davenport|Conservative|4740
Davenport|Independent|85
Davenport|NDP-New Democratic Party|19854
Davenport|Green Party|1087
Davenport|People's Party - PPC|1499
Davenport|Liberal|19930
Davenport|Independent|77
Davenport|Conservative|4774
Davenport|Independent|86
Don Valley East|Liberal|22503
Don Valley East|People's Party - PPC|2033
Don Valley East|NDP-New Democratic Party|4879
Don Valley East|Conservative|8428
Don Valley East|Liberal|22356
Don Valley East|People's Party - PPC|1585
Don Valley East|NDP-New Democratic Party|4618
Don Valley East|Conservative|8766
Don Valley North|Liberal|22067
Don Valley North|NDP-New Democratic Party|4337
Don Valley North|People's Party - PPC|1366
Don Valley North|Green Party|780
Don Valley North|Conservative|12054
Don Valley North|Liberal|22067
Don Valley North|NDP-New Democratic Party|4304
Don Valley North|People's Party - PPC|1301
Don Valley North|Green Party|765
Don Valley North|Conservative|12098
Don Valley West|Green Party|761
Don Valley West|Centrist|65
Don Valley West|People's Party - PPC|881
Don Valley West|Liberal|24796
Don Valley West|NDP-New Democratic Party|3814
Don Valley West|Conservative|16707
Don Valley West|Green Party|761
Don Valley West|Centrist|65
Don Valley West|People's Party - PPC|881
Don Valley West|Liberal|24798
Don Valley West|NDP-New Democratic Party|3814
Don Valley West|Conservative|16695
Dufferin--Caledon|Green Party|2898
Dufferin--Caledon|Independent|248
Dufferin--Caledon|Liberal|22587
Dufferin--Caledon|NDP-New Democratic Party|6972
Dufferin--Caledon|Conservative|31736
Dufferin--Caledon|People's Party - PPC|4597
Dufferin--Caledon|Green Party|2754
Dufferin--Caledon|Independent|207
Dufferin--Caledon|Liberal|19867
Dufferin--Caledon|NDP-New Democratic Party|6866
Dufferin--Caledon|Conservative|31490
Dufferin--Caledon|People's Party - PPC|4389
Durham|Independent|251
Durham|NDP-New Democratic Party|11823
Durham|People's Party - PPC|3722
Durham|Liberal|20205
Durham|Conservative|31421
Durham|Independent|49
Durham|Parti Rhinocéros Party|148
Durham|Independent|251
Durham|NDP-New Democratic Party|11865
Durham|People's Party - PPC|3725
Durham|Liberal|20267
Durham|Conservative|31423
Durham|Independent|49
Durham|Parti Rhinocéros Party|150
Eglinton--Lawrence|Green Party|1475
Eglinton--Lawrence|People's Party - PPC|1410
Eglinton--Lawrence|Liberal|23939
Eglinton--Lawrence|Conservative|17916
Eglinton--Lawrence|NDP-New Democratic Party|4510
Eglinton--Lawrence|Green Party|1490
Eglinton--Lawrence|People's Party - PPC|1445
Eglinton--Lawrence|Liberal|24051
Eglinton--Lawrence|Conservative|18082
Eglinton--Lawrence|NDP-New Democratic Party|4543
Elgin--Middlesex--London|Liberal|12325
Elgin--Middlesex--London|NDP-New Democratic Party|10085
Elgin--Middlesex--London|People's Party - PPC|7429
Elgin--Middlesex--London|Christian Heritage Party|336
Elgin--Middlesex--London|Green Party|1417
Elgin--Middlesex--London|Conservative|31372
Elgin--Middlesex--London|Liberal|12326
Elgin--Middlesex--London|NDP-New Democratic Party|10086
Elgin--Middlesex--London|People's Party - PPC|7429
Elgin--Middlesex--London|Christian Heritage Party|328
Elgin--Middlesex--London|Green Party|1417
Elgin--Middlesex--London|Conservative|31472
Essex|People's Party - PPC|6925
Essex|Liberal|10778
Essex|Independent|172
Essex|Conservative|28741
Essex|Christian Heritage Party|182
Essex|Green Party|859
Essex|NDP-New Democratic Party|22269
Essex|People's Party - PPC|6925
Essex|Liberal|10813
Essex|Independent|172
Essex|Conservative|28741
Essex|Christian Heritage Party|182
Essex|Green Party|865
Essex|NDP-New Democratic Party|22278
Etobicoke Centre|Liberal|27623
Etobicoke Centre|People's Party - PPC|4000
Etobicoke Centre|NDP-New Democratic Party|5809
Etobicoke Centre|Conservative|20208
Etobicoke Centre|Liberal|27635
Etobicoke Centre|People's Party - PPC|4003
Etobicoke Centre|NDP-New Democratic Party|5804
Etobicoke Centre|Conservative|20108
Etobicoke--Lakeshore|Conservative|20436
Etobicoke--Lakeshore|Parti Rhinocéros Party|119
Etobicoke--Lakeshore|Marxist-Leninist|139
Etobicoke--Lakeshore|Green Party|1363
Etobicoke--Lakeshore|NDP-New Democratic Party|8774
Etobicoke--Lakeshore|Liberal|30359
Etobicoke--Lakeshore|People's Party - PPC|2857
Etobicoke--Lakeshore|Conservative|20457
Etobicoke--Lakeshore|Parti Rhinocéros Party|119
Etobicoke--Lakeshore|Marxist-Leninist|139
Etobicoke--Lakeshore|Green Party|1363
Etobicoke--Lakeshore|NDP-New Democratic Party|8775
Etobicoke--Lakeshore|Liberal|30355
Etobicoke--Lakeshore|People's Party - PPC|2857
Etobicoke North|People's Party - PPC|1536
Etobicoke North|Liberal|21212
Etobicoke North|Conservative|8873
Etobicoke North|NDP-New Democratic Party|3691
Etobicoke North|Independent|325
Etobicoke North|People's Party - PPC|1473
Etobicoke North|Liberal|21201
Etobicoke North|Conservative|8866
Etobicoke North|NDP-New Democratic Party|3708
Etobicoke North|Independent|316
Flamborough--Glanbrook|Green Party|1403
Flamborough--Glanbrook|Conservative|24031
Flamborough--Glanbrook|NDP-New Democratic Party|9409
Flamborough--Glanbrook|People's Party - PPC|3685
Flamborough--Glanbrook|Liberal|21350
Flamborough--Glanbrook|Green Party|1254
Flamborough--Glanbrook|Conservative|24370
Flamborough--Glanbrook|NDP-New Democratic Party|9409
Flamborough--Glanbrook|People's Party - PPC|3686
Flamborough--Glanbrook|Liberal|21350
Glengarry--Prescott--Russell|People's Party - PPC|4477
Glengarry--Prescott--Russell|Free Party Canada|429
Glengarry--Prescott--Russell|Liberal|30564
Glengarry--Prescott--Russell|Independent|315
Glengarry--Prescott--Russell|Green Party|1357
Glengarry--Prescott--Russell|NDP-New Democratic Party|7100
Glengarry--Prescott--Russell|Conservative|22133
Glengarry--Prescott--Russell|People's Party - PPC|4458
Glengarry--Prescott--Russell|Free Party Canada|422
Glengarry--Prescott--Russell|Liberal|30362
Glengarry--Prescott--Russell|Independent|314
Glengarry--Prescott--Russell|Green Party|1350
Glengarry--Prescott--Russell|NDP-New Democratic Party|7022
Glengarry--Prescott--Russell|Conservative|21979
Guelph|Green Party|5250
Guelph|Communist|187
Guelph|NDP-New Democratic Party|14716
Guelph|People's Party - PPC|3182
Guelph|Animal Protection Party|262
Guelph|Liberal|29376
Guelph|Conservative|16796
Guelph|Green Party|5250
Guelph|Communist|187
Guelph|NDP-New Democratic Party|14713
Guelph|People's Party - PPC|3182
Guelph|Animal Protection Party|262
Guelph|Liberal|29382
Guelph|Conservative|16795
Haldimand--Norfolk|People's Party - PPC|6570
Haldimand--Norfolk|Conservative|29586
Haldimand--Norfolk|Christian Heritage Party|559
Haldimand--Norfolk|Liberal|17208
Haldimand--Norfolk|VCP|262
Haldimand--Norfolk|NDP-New Democratic Party|8320
Haldimand--Norfolk|People's Party - PPC|6570
Haldimand--Norfolk|Conservative|29664
Haldimand--Norfolk|Christian Heritage Party|559
Haldimand--Norfolk|Liberal|17224
Haldimand--Norfolk|VCP|255
Haldimand--Norfolk|NDP-New Democratic Party|8320
Haliburton--Kawartha Lakes--Brock|Libertarian|463
Haliburton--Kawartha Lakes--Brock|People's Party - PPC|4769
Haliburton--Kawartha Lakes--Brock|Liberal|15645
Haliburton--Kawartha Lakes--Brock|Green Party|1699
Haliburton--Kawartha Lakes--Brock|NDP-New Democratic Party|9730
Haliburton--Kawartha Lakes--Brock|Conservative|35418
Haliburton--Kawartha Lakes--Brock|Libertarian|463
Haliburton--Kawartha Lakes--Brock|People's Party - PPC|4769
Haliburton--Kawartha Lakes--Brock|Liberal|15645
Haliburton--Kawartha Lakes--Brock|Green Party|1696
Haliburton--Kawartha Lakes--Brock|NDP-New Democratic Party|9730
Haliburton--Kawartha Lakes--Brock|Conservative|35418
Hamilton Centre|People's Party - PPC|2704
Hamilton Centre|Liberal|11010
Hamilton Centre|Communist|217
Hamilton Centre|NDP-New Democratic Party|20139
Hamilton Centre|Conservative|6317
Hamilton Centre|Green Party|1129
Hamilton Centre|Independent|100
Hamilton Centre|People's Party - PPC|2637
Hamilton Centre|Liberal|10941
Hamilton Centre|Communist|184
Hamilton Centre|NDP-New Democratic Party|20105
Hamilton Centre|Conservative|6209
Hamilton Centre|Green Party|1105
Hamilton Centre|Independent|99
Hamilton East--Stoney Creek|Liberal|18377
Hamilton East--Stoney Creek|Conservative|13988
Hamilton East--Stoney Creek|NDP-New Democratic Party|12653
Hamilton East--Stoney Creek|Green Party|1018
Hamilton East--Stoney Creek|People's Party - PPC|3694
Hamilton East--Stoney Creek|Liberal|18358
Hamilton East--Stoney Creek|Conservative|13934
Hamilton East--Stoney Creek|NDP-New Democratic Party|12748
Hamilton East--Stoney Creek|Green Party|1020
Hamilton East--Stoney Creek|People's Party - PPC|3733
Hamilton Mountain|NDP-New Democratic Party|15712
Hamilton Mountain|Christian Heritage Party|336
Hamilton Mountain|Liberal|16547
Hamilton Mountain|Conservative|11838
Hamilton Mountain|People's Party - PPC|3097
Hamilton Mountain|Green Party|974
Hamilton Mountain|NDP-New Democratic Party|15706
Hamilton Mountain|Christian Heritage Party|306
Hamilton Mountain|Liberal|16548
Hamilton Mountain|Conservative|11828
Hamilton Mountain|People's Party - PPC|3098
Hamilton Mountain|Green Party|974
Hamilton West--Ancaster--Dundas|Green Party|1663
Hamilton West--Ancaster--Dundas|NDP-New Democratic Party|12337
Hamilton West--Ancaster--Dundas|Conservative|18122
Hamilton West--Ancaster--Dundas|Parti Rhinocéros Party|137
Hamilton West--Ancaster--Dundas|Liberal|27797
Hamilton West--Ancaster--Dundas|People's Party - PPC|2592
Hamilton West--Ancaster--Dundas|Green Party|1661
Hamilton West--Ancaster--Dundas|NDP-New Democratic Party|12432
Hamilton West--Ancaster--Dundas|Conservative|18162
Hamilton West--Ancaster--Dundas|Parti Rhinocéros Party|137
Hamilton West--Ancaster--Dundas|Liberal|27845
Hamilton West--Ancaster--Dundas|People's Party - PPC|2584
Hastings--Lennox and Addington|People's Party - PPC|3131
Hastings--Lennox and Addington|Liberal|19056
Hastings--Lennox and Addington|NDP-New Democratic Party|6020
Hastings--Lennox and Addington|Conservative|24653
Hastings--Lennox and Addington|Independent|838
Hastings--Lennox and Addington|Green Party|971
Hastings--Lennox and Addington|People's Party - PPC|3131
Hastings--Lennox and Addington|Liberal|19056
Hastings--Lennox and Addington|NDP-New Democratic Party|6020
Hastings--Lennox and Addington|Conservative|24651
Hastings--Lennox and Addington|Independent|838
Hastings--Lennox and Addington|Green Party|971
Huron--Bruce|NDP-New Democratic Party|9123
Huron--Bruce|Conservative|31591
Huron--Bruce|Liberal|16138
Huron--Bruce|Independent|523
Huron--Bruce|People's Party - PPC|4471
Huron--Bruce|NDP-New Democratic Party|9056
Huron--Bruce|Conservative|31170
Huron--Bruce|Liberal|16015
Huron--Bruce|Independent|519
Huron--Bruce|People's Party - PPC|4437
Kanata--Carleton|NDP-New Democratic Party|8822
Kanata--Carleton|Conservative|24373
Kanata--Carleton|People's Party - PPC|1858
Kanata--Carleton|Green Party|1709
Kanata--Carleton|Liberal|26394
Kanata--Carleton|NDP-New Democratic Party|8822
Kanata--Carleton|Conservative|24373
Kanata--Carleton|People's Party - PPC|1858
Kanata--Carleton|Green Party|1709
Kanata--Carleton|Liberal|26394
Kenora|Liberal|5190
Kenora|People's Party - PPC|1625
Kenora|Conservative|11103
Kenora|Green Party|364
Kenora|NDP-New Democratic Party|7802
Kenora|Liberal|5190
Kenora|People's Party - PPC|1625
Kenora|Conservative|11103
Kenora|Green Party|364
